Page,Register Number,Register Name,Register Address,Register Value
0,Register 0,PAGE CONTROL REGISTER,0x00,0x00
0,Register 1,S/W RESET,0x01,0x00
0,Register 2,CODEC SAMPLE RATE SELECT,0x02,0x00
0,Register 4,PLL PROG REG B: PLL J-VAL,0x04,0x04
0,Register 5,PLL PROG REG C: D-VAL MSB,0x05,0x00
0,Register 6,PLL PROG REG D: D-VAL LSB,0x06,0x00
0,Register 7,CODEC DATAPATH SETUP,0x07,0x8A
0,Register 8,DATAPATH INTERFACE CONTROL A,0x08,0x00
0,Register 9,DATAPATH INTERFACE CONTROL B,0x09,0x00
0,Register 10,AUDIO SERIAL DATA WORD OFFSET CONTROL,0x0A,0x00
0,Register 11,OVERFLOW FLAGS & PLL R VALUE,0x0B,0x01
0,Register 12,DATAPATH AUDIO FILTERS,0x0C,0x00
0,Register 13,HEADSET/BUTTON PRESS DETECT REG A,0x0D,0x00
0,Register 14,HEADSET/BUTTON PRESS DETECT REG B ,0x0E,0xC0
0,Register 15,LEFT ADC PGA GAIN CONTROL,0x0F,0x80
0,Register 16,RIGHT ADC PGA GAIN CONTROL,0x10,0x80
0,Register 17,MIC2L/R TO LEFT ADC CONTROL,0x11,0xFF
0,Register 18,MIC2L/R TO RIGHT ADC CONTROL,0x12,0xFF
0,Register 19,MIC1_LINE1_L TO LEFT ADC CH.,0x13,0x78
0,Register 20,RESERVED,0x14,0x78
0,Register 21,MIC1_LINE1_R TO LEFT ADC CH.,0x15,0x78
0,Register 22,MIC1_LINE1_R TO RIGHT ADC CH.,0x16,0x78
0,Register 23,RESERVED,0x17,0x78
0,Register 24,MIC1_LINE1_L TO RIGHT ADC CH.,0x18,0x78
0,Register 25,MICBIAS CONTROL,0x19,0x06
0,Register 26,LEFT AGC CONTROL A,0x1A,0x00
0,Register 27,LEFT AGC CONTROL B,0x1B,0xFE
0,Register 28,LEFT AGC CONTROL C,0x1C,0x00
0,Register 29,RIGHT AGC CONTROL A,0x1D,0x00
0,Register 30,RIGHT AGC CONTROL B,0x1E,0xFE
0,Register 31,RIGHT AGC CONTROL C,0x1F,0x00
0,Register 32,LEFT AGC GAIN,0x20,0x00
0,Register 33,RIGHT AGC GAIN,0x21,0x00
0,Register 34,LEFT AGC DEBOUNCE,0x22,0x00
0,Register 35,RIGHT AGC DEBOUNCE,0x23,0x00
